id,product_name,product_brand,product_category,product_price,skin_type
1,Hello Aloe just gel,Plum,Alovera Gel,336,All skin type
2,Mamaearth Aloe Aswagantha Gel,Mamaearth,Alovera Gel,307,Dull Skin
3,Niacinamide face serum,Dermdoc,Serum,234,Oily
4,Garnier Vitamin C+ serum,Garnier,Serum,224,All skin type
5,Deyga Aloe,Deyga,Alovera Gel,241,All skin type
6,Aloe Magic,Every Earth,Alovera Gel,317,Dry
7,Vitamin C and B3 serum,Good Vibes,Serum,175,Oily
8,Vitamin C 10%,Minimalist,Serum,299,All skin type
9,Ponds Super light Gel,Ponds,Moisturizer,162,Dry to Normal
10,Gluta-Hya,Vaseline,Moisturizer,217,All skin type
11,Bright Beauty with niacinamide,Ponds,Moisturizer,103,Dry to Normal
12,Dermdoc SPF 50,Dermdoc,Sunscreen,341,All skin type
13,Vitamin C+ E Super Bright,Dot and Key,Sunscreen,396,Normal
14,CICA brightening sunscreen,Good Vibes,Sunscreen,173,Oily
15,Glow + Dewy Lightweight Sunscreen,Aqualogica,Sunscreen,395,Dry to Normal
